rank,accountid,rating
1,moyi,18377
2,huyagaoshou,18370
3,HuyaGuo,17384
4,jeef,17331
5,YrXiaoT,17035
6,BeterBabbit,16840
7,huyaSolitary,16620
8,Waterloooooo,16388
9,Lii,16213
10,あれっくす,16195
11,herusia,16093
12,Akari,16025
13,MATSURI,15873
14,awedragon,15777
15,梁瀬,15742
16,jkirek,15642
17,dog,15620
18,Mykeke,15178
19,HuyaMonkey,15154
20,greed,15153
21,Bofur,15097
22,SuperStars,15030
23,Lyme,14896
24,LiZi,14759
25,CIAOBYChaha,14701
26,cowboy,14638
27,겨울제비,14525
28,Ethan,14515
29,kuromatu,14501
30,Hafu,14477
31,nukunukunuko,14420
32,cowboy,14300
33,GTOVICTOR,14258
34,かもん,14229
35,Tume,14172
36,Pocky,14128
37,GraveyardHS,14123
38,Ko3h,14089
39,HITLYH,14083
40,FatherOfBob,14077
41,Huntressrose,14049
42,ネゲター,14048
43,hsmt,14041
44,wzy,14032
45,暮雨,14028
46,lotteria,14022
47,ToumaKazusa,14017
48,GodHelp,14010
49,华科丶别来诶院,14010
50,HALfaith,14010
51,BoomMD,14004
52,HapaIsTilted,14002
53,TeTu,13925
54,oyatsu,13867
55,LuckyCAO,13864
56,GhetoSupasta,13787
57,Verspri,13777
58,HapaBear,13765
59,Alucard,13754
60,Cnight777,13754
61,Mysterious,13723
62,huangxiaoxia,13713
63,劉老師單身,13710
64,Lamb,13689
65,Driggles,13673
66,Mikoto,13640
67,いっち,13606
68,Moling,13567
69,frank,13561
70,teeee,13555
71,Raze,13535
72,Foooz,13532
73,血染美服,13529
74,JohnJohn,13519
75,neverland,13495
76,爱本无言刺客,13471
77,あまつか,13463
78,Psychogenics,13459
79,kkmzd,13444
80,Mo0,13438
81,ぴり辛！,13433
82,undertale,13394
83,maxyoyo,13392
84,午夜小姜,13388
85,ZoinhU,13367
86,newhero,13348
87,viv86,13307
88,NiTian,13303
89,默灬,13299
90,wasabi,13291
91,KenKen,13285
92,diffROY,13265
93,downonesDRBF,13256
94,Vme50,13235
95,JustMissU,13230
96,WobbleWeezy,13217
97,Gajumon,13191
98,橙子,13182
99,CuteEgg,13154
100,justfirst,13152
101,あばれるくん,13152
102,逸尘大宝贝儿,13150
103,BenRen,13130
104,Coookiemonst,13125
105,MrGoose,13092
106,リュウ,13086
107,torisan,13077
108,SuperMickey,13064
109,Zorg,13064
110,Airy0,13061
111,Frogmore,13048
112,zhongwmwm,13047
113,Liesicd,13038
114,flaamm,13036
115,King,13030
116,Pikaxu,13024
117,djwcb,13023
118,shanqian,13018
119,Letting,13016
120,ete,13008
121,keromon,12989
122,Foreq,12975
123,ASeaUrchin,12969
124,baino123bain,12963
125,Ding,12955
126,AITUZ,12910
127,copajoe,12864
128,kikiattack,12841
129,John,12825
130,O3O,12815
131,,12807
132,sadamu,12804
133,Gin,12788
134,ucdchris,12779
135,dotime,12729
136,Arnold,12716
137,baobodedie,12715
138,medianaranja,12711
139,caibill,12704
140,Lumpy,12703
141,sanlang,12702
142,Cong,12700
143,OMG,12698
144,Tokodachi,12675
145,KillerWeed,12672
146,BOBsDAD,12661
147,Dragonfires,12653
148,MoonEevee,12646
149,东歌,12641
150,ggglll,12637
151,WingsOfDeath,12616
152,DrLazyEyes,12605
