rank,accountid,rating
1,XQN,19586
2,xixiha,19334
3,LOUDER,19052
4,jeef,19019
5,huyagaoshou,19016
6,huyaVv,18245
7,Tume,17005
8,HuyaGuo,16703
9,wszba,16282
10,Cytro,16251
11,Леший,16222
12,ZengKa,16101
13,Petro,16034
14,九條美姬簡薇樂瑤,16008
15,guDDummit,15881
16,Slyders,15867
17,Zorg,15823
18,zed,15795
19,Agamaggan,15632
20,Sevel,15433
21,惡魔蘋果,15363
22,莫色詩薇蘇流澈柔,15311
23,bin,15297
24,WabasH,15214
25,Att,15158
26,huyaSword,15092
27,OneHeart,15065
28,景天,15054
29,zhongwmwm,15036
30,Zayrox,15034
31,Rdu,15031
32,Owlnightwalk,15020
33,Steven,15016
34,Montanaz0r,15009
35,DayWeen,15003
36,Felkeine,14897
37,Koshchei,14873
38,Šnusmümriken,14865
39,BaboFat,14806
40,Budilicious,14790
41,Maimt,14766
42,VivaLyashka,14747
43,Bendrikus,14692
44,OkabeRintaro,14678
45,Maverick,14675
46,DZCWADLN,14653
47,Spidy,14641
48,Tera,14634
49,viv86,14609
50,MaRiOsPrO,14564
51,Barotz,14529
52,Shadybunny,14510
53,QuilboarTTV,14500
54,shencangBLUE,14410
55,Marvouny,14367
56,bhhcv,14342
57,Stromae,14333
58,BoardKing,14318
59,Imbajimba,14311
60,不负月烨不负歆,14291
61,dmccabe,14264
62,Doud78,14190
63,VladElisha,14184
64,BadCookie,14167
65,Cure,14149
66,oliech,14107
67,Thund3r,14075
68,kaito1412,14074
69,jkirek,14051
70,yangyang,14045
71,sharp,14016
72,goku,14015
73,LLWINNER,14010
74,sharpley,14008
75,indefnet,14007
76,BeNice,14006
77,Fritterus,13996
78,ixxdeee,13873
79,Physikbar,13815
80,BCEMUDACHI,13810
81,DoGBiscuit,13769
82,megusto,13764
83,Twitchchat,13757
84,Turna,13745
85,ashenone,13719
86,Porlk,13655
87,tristrat,13649
88,пронзаяДушу,13638
89,JCSZ,13625
90,Sinedd92,13617
91,理智的棕色蝙蝠,13610
