rank,accountid,rating
1,Tume,18194
2,hsmt,18057
3,ArslanPozor,17756
4,BaboFat,17402
5,Slyders,17392
6,RyanGosling,17067
7,СтоякБезДела,17017
8,XQN,16972
9,Sevel,16843
10,guDDummit,16752
11,GigaRDU,16697
12,Леший,16604
13,Doud78,16600
14,kzinnii,16559
15,Arkantos,16453
16,Mario68,16336
17,jkirek,16118
18,kekandop,16050
19,Gospodar,16013
20,VladElisha,15926
21,Filpek,15902
22,Cytro,15891
23,BeterBabbit,15815
24,Karnaval,15769
25,huyaFritQN,15629
26,Среброкрыл,15625
27,DoGBiscuit,15602
28,ЗлюкаМаг,15556
29,Felkeine,15550
30,GAP1698,15406
31,Rdu,15315
32,SNEG,15273
33,пронзаяДушу,15161
34,tristrat,15140
35,Mathematics,15117
36,壞壞熊公仔,15107
37,BeNice,15091
38,catlamity,15035
39,Koshchei,15007
40,Sinedd92,15006
41,KuositoVélez,15000
42,viv86,14996
43,IRONQ,14899
44,Olinho,14850
45,BCEMUDACHI,14790
46,Physikbar,14759
47,Zjin,14724
48,FEDOS,14688
49,Goblack,14686
50,Tera,14679
51,fishou,14633
52,Maverick,14606
53,mega,14552
54,oliech,14490
55,montzis,14436
56,SuperJJ,14402
57,u4a6an,14375
58,OkabeRintaro,14349
59,ананас,14299
60,EsPerados,14298
61,SLAGATHOR,14289
62,ixxdeee,14265
63,Skalmanleif,14251
64,Вупсень,14222
65,lulu,14213
66,Stromae,14210
67,HaapaE,14198
68,BadCookie,14176
69,FastEddieHS,14151
70,cuckchromo47,14104
71,justmastery,14085
72,Dancezelap,14072
73,Montanaz0r,14062
74,NUMB,14054
75,fcpopa,14046
76,Lasseomg,14045
77,YayaFurer,13973
78,Kawazaki,13842
79,Darnell,13809
80,TigreSpettro,13783
81,BrajanCake,13758
82,Mathkb,13721
83,wtybill,13663
84,Turna,13661
85,Raskinz,13621
86,JumpyLion,13612
87,naylek,13605
88,Nef1ida,13594
89,Petro,13577
90,Fochi,13562
91,Budilicious,13553
92,kelly,13526
93,MDrugDealer,13517
94,Kuuesmeel,13494
95,СтильУбийцы,13452
96,No1ove1cus,13446
97,swan,13438
98,Shadybunny,13434
99,BenGoorYon,13426
100,SonOfFlameHS,13408
101,ElStelzbocko,13401
102,Spidy,13391
103,Latzinn,13391
104,westate,13387
105,BarsellinO,13374
106,Angler,13373
107,Gucc1k,13359
108,Cherkash,13347
109,MiXerr,13344
110,DayWeen,13337
111,ecaflop,13333
112,HGL223,13323
113,Lydian,13308
114,manolis,13304
115,Bibma,13288
116,chips,13247
117,Barotz,13231
118,Verbosl71,13225
119,СтейсиСтас,13223
120,saiggo16,13198
121,megusto,13195
122,GOTOR8,13193
123,DapperDan,13173
124,ADVOCATE,13168
125,Тапок,13147
126,LLWINNER,13114
127,Xrimfff,13102
128,ttrCasino,13098
129,Maks7K,13091
130,deenit,13071
131,Scorlio67,13069
132,ripulipaska,13067
133,boaZ,13043
134,Mathrais,13040
135,Глеб,13030
136,Gamba,13028
137,FULLMASTER,13025
138,Zorg,13020
139,GunterKir,13011
140,Zawak,13001
141,n0M3rc1,13000
142,Shadoxic,12990
143,Wurick,12977
144,Amyo,12952
145,いつもの,12927
146,VentoAureo,12910
147,markus,12885
148,LaKakaya,12874
149,PaciFist,12871
150,dimazavr1k,12849
151,Simalaja,12845
152,Jounen,12828
153,mankerchief,12808
154,DeepSabbath,12790
155,redrighthand,12782
156,Tedjuro,12779
157,Arch1,12774
158,Scream,12767
159,Chelibomber,12759
160,succersn,12757
161,Leoric,12750
162,Rinne,12746
163,Codu,12744
164,Ortapepe,12715
165,OneManul83,12714
166,Krebbo,12708
167,Thund3r,12700
168,BillMurray,12685
169,Gruve,12671
170,Dreamliner,12668
171,Paulcino,12663
172,MrBRITT,12663
173,killer42,12661
174,ChessMan,12657
175,Bartellini,12656
176,Verveine,12655
177,Vermish,12635
178,Rover,12632
179,BHC4,12620
180,much2pro4you,12616
181,Cheramy,12600
182,artemBeassst,12598
183,Sebi,12592
184,Regina,12585
185,SpaceRacer,12547
186,LavaOwl,12536
187,Treyda,12530
188,Chaotic,12529
189,YTR,12527
190,Maddo,12524
191,Fasbii,12523
192,Kusbara,12522
193,egoisto,12518
194,nestea08,12505
195,swaggyboy,12490
196,wysyartur,12484
197,Comey,12483
198,Kiejdris,12483
199,yorickjoo,12479
200,Yillilu,12468
201,Chyva4ok,12464
202,CHUM,12460
203,Kills,12443
204,Marshfield,12427
205,chessdumb,12402
206,Philipp,12396
207,Zeshi,12377
208,Twitchchat,12370
209,Tschau,12368
210,Malisar,12367
211,Sukinoi,12354
212,NinjaBanane,12342
213,xtinctz,12342
214,Walterlele,12329
215,Montagab,12322
216,Soomie,12321
217,EbonShark,12320
218,Brasdor,12296
219,McFarquhar,12295
220,Jornurd,12293
221,LengFeng,12290
222,HysteriA,12280
223,Serebro,12275
224,Trangosu,12246
225,Pyrok4,12243
226,Blizzaars2,12239
227,tchu,12234
228,Yatech,12225
229,Sangö,12220
230,artemychych,12219
231,Saber,12198
232,ArbuzArbuz,12196
233,siebdez08,12187
234,hisoka,12182
235,Fritterus,12181
236,zer0Cachou,12177
237,Vosfi,12175
238,Laslo,12173
239,Lndeep333666,12163
240,Amroth,12161
241,Alacrity,12160
242,Sebbue,12153
243,Legend27,12151
244,indecisive,12145
245,IlDavis,12133
246,évoli,12125
247,Spirit,12123
248,Gad9Petrovi4,12120
249,billyher,12119
250,FLMargatroid,12100
251,Meeke,12096
252,Capricorn,12091
253,calient,12086
254,Welsit,12085
255,heartruanrua,12081
256,Sodo,12080
257,Higurashi,12076
258,Aladeer,12073
